名称,在售价格,在售数量
PP-野牛 | 核燃料棒 (破损不堪),￥8.97,"
                            16"
P90 | 深蓝组件 (略有磨损),￥17.45,"
                            34"
P250（StatTrak™） | 元素轮廓 (略有磨损),￥8.29,"
                            76"
P90（StatTrak™） | 病毒危机 (战痕累累),￥45.16,"
                            2"
MAG-7（StatTrak™） | 铋晶体 (破损不堪),￥38.84,"
                            3"
裹手（★） | 警告！ (破损不堪),￥991.00,"
                            33"
PP-野牛 | 核燃料棒 (破损不堪),￥8.97,"
                            16"
SSG 08 | 青苔虚线 (略有磨损),￥47.19,"
                            2"
印花 | Jimpphat（全息）| 2025年奥斯汀锦标赛,￥4.04,"
                            9"
M4A4 | 合纵 (战痕累累),￥2200.00,"
                            41"
加利尔AR（StatTrak™） | 火箭冰棒 (战痕累累),￥7.00,"
                            44"
法玛斯 | 喵喵36 (破损不堪),￥0.59,"
                            202"
印花 | Natus Vincere | 2024年哥本哈根锦标赛,￥0.28,"
                            6"
格洛克18型 | 鼬鼠 (久经沙场),￥7.66,"
                            248"
USP消音版 | 闪回 (略有磨损),￥6.58,"
                            170"
UMP-45 | 连续体 (略有磨损),￥11.96,"
                            171"
沙漠之鹰 | 指挥 (久经沙场),￥8.47,"
                            308"
P90 | 元女王 (略有磨损),￥4.50,"
                            191"
格洛克18型 | 镜面马赛克 (久经沙场),￥59.49,"
                            185"
SG 553 | 三巨头 (久经沙场),￥8.44,"
                            41"
MAG-7 | 正义 (久经沙场),￥36.33,"
                            105"
SG 553 | 三巨头 (久经沙场),￥8.44,"
                            41"
MAG-7 | 正义 (久经沙场),￥36.33,"
                            105"
USP消音版 | 破颚者 (久经沙场),￥35.50,"
                            670"
P90 | 攻击向量 (略有磨损),￥117.00,"
                            102"
P2000 | 渐变琥珀 (崭新出厂),￥25.67,"
                            833"
宙斯x27电击枪 | 鼾龙传说 (略有磨损),￥460.78,"
                            77"
截短霰弹枪 | 么么 (久经沙场),￥24.97,"
                            469"
双持贝瑞塔 | 天矢之眼 (略有磨损),￥12.15,"
                            158"
格洛克18型 | 子弹皇后 (崭新出厂),￥1240.00,"
                            104"
USP消音版 | 守护者 (崭新出厂),￥66.00,"
                            214"
M4A4 | 多边形编辑 (略有磨损),￥133.99,"
                            105"
暗影双匕（★） | 蓝钢 (略有磨损),￥701.00,"
                            9"
FN57（StatTrak™） | 霸意大名 (崭新出厂),￥32.17,"
                            2"
精英穆哈里克先生 | 精锐分子,￥104.88,"
                            605"
PP-野牛（StatTrak™） | 水蓝条纹 (破损不堪),￥49.17,"
                            2"
封装的涂鸦 | 吃掉 (灰褐),￥0.11,"
                            22"
印花 | juanflatroo（金色） | 2022年安特卫普锦标赛,￥23.91,"
                            5"
截短霰弹枪 | 千纸鹤 (崭新出厂),￥3.19,"
                            55"
折刀（★ StatTrak™） | 狩猎网格 (战痕累累),￥509.00,"
                            5"
M4A4 | 沙漠精英 (崭新出厂),￥1003.90,"
                            139"
AK-47 | 水栽竹 (战痕累累),￥6312.00,"
                            10"
蝴蝶刀（★ StatTrak™） | 黑色层压板 (略有磨损),￥5748.00,"
                            7"
宙斯x27电击枪（StatTrak™） | 当岁鱼 (破损不堪),￥8.89,"
                            46"
沙漠之鹰 | 日落风暴 壱 (略有磨损),￥7021.00,"
                            5"
求生匕首（★ StatTrak™） | 虎牙 (略有磨损),￥2074.00,"
                            2"
印花 | AZR（闪亮）| 2019年卡托维兹锦标赛,￥43.11,"
                            4"
P90 | 盲点 (战痕累累),￥69.65,"
                            9"
PP-野牛 | 丛林滑流 (久经沙场),￥2.27,"
                            22"
Tec-9 | 黄铜 (久经沙场),￥28.30,"
                            12"
法玛斯（StatTrak™） | 中士 (破损不堪),￥34.36,"
                            5"
MP7 | 地下水 (战痕累累),￥39.90,"
                            4"
XM1014 | 蔚蓝多变迷彩 (略有磨损),￥82.49,"
                            3"
PP-野牛（StatTrak™） | 古董枪 (战痕累累),￥95.99,"
                            8"
新星 | 天秤之月 (破损不堪),￥41.43,"
                            3"
AK-47 | 酷炫涂鸦皮革 (略有磨损),￥4021.00,"
                            6"
UMP-45（StatTrak™） | 连续体 (破损不堪),￥9.34,"
                            47"
P250 | 震中 (破损不堪),￥36.69,"
                            22"
MP7（StatTrak™） | 游击队 (略有磨损),￥22.18,"
                            6"
AUG（StatTrak™） | 动量 (破损不堪),￥36.83,"
                            18"
UMP-45（StatTrak™） | 合金绽放 (战痕累累),￥33.92,"
                            11"
AK-47 | 酷炫涂鸦皮革 (略有磨损),￥4021.00,"
                            6"
UMP-45（StatTrak™） | 连续体 (破损不堪),￥9.34,"
                            47"
P250 | 震中 (破损不堪),￥36.69,"
                            22"
MP7（StatTrak™） | 游击队 (略有磨损),￥22.18,"
                            6"
AUG（StatTrak™） | 动量 (破损不堪),￥36.83,"
                            18"
UMP-45（StatTrak™） | 合金绽放 (战痕累累),￥33.92,"
                            11"
MAG-7 | 记忆碎片 (略有磨损),￥51.94,"
                            23"
截短霰弹枪 | 路霸 (久经沙场),￥12.55,"
                            16"
MAC-10（StatTrak™） | 青金鳄皮 (久经沙场),￥9.71,"
                            14"
格洛克18型（StatTrak™） | 铁之作 (崭新出厂),￥68.27,"
                            5"
双持贝瑞塔（StatTrak™） | 都市冲击 (战痕累累),￥47.04,"
                            5"
印花 | nawwk（金色）| 2024年哥本哈根锦标赛,￥20.43,"
                            15"
PP-野牛 | 森林之叶 (久经沙场),￥33.19,"
                            4"
UMP-45（StatTrak™） | 支架 (战痕累累),￥20.14,"
                            9"
P90 | 病毒危机 (战痕累累),￥22.03,"
                            9"
P2000（StatTrak™） | 黑曜石 (破损不堪),￥25.24,"
                            9"
布章 | 17号城市,￥2.19,"
                            14"
G3SG1 | 碧蓝斑纹 (略有磨损),￥26.34,"
                            8"
XM1014（StatTrak™） | 焚烬之鳄 (战痕累累),￥60.32,"
                            8"
弯刀（★） | 蓝钢 (久经沙场),￥1096.00,"
                            14"
布章 | 17号城市,￥2.19,"
                            14"
G3SG1 | 碧蓝斑纹 (略有磨损),￥26.34,"
                            8"
XM1014（StatTrak™） | 焚烬之鳄 (战痕累累),￥60.32,"
                            8"
弯刀（★） | 蓝钢 (久经沙场),￥1096.00,"
                            14"
SG 553 | 威吓者 (略有磨损),￥1991.00,"
                            9"
AK-47 | 黄金藤蔓 (久经沙场),￥16122.00,"
                            20"
短剑（★） | 多普勒 (崭新出厂),￥3480.00,"
                            56"
P2000 | 升天 (略有磨损),￥1.21,"
                            33"
M9 刺刀（★ StatTrak™） | 自动化 (破损不堪),￥8677.00,"
                            2"
刺刀（★） | 狩猎网格 (破损不堪),￥931.00,"
                            8"
MP9 | 中枢 (略有磨损),￥1.25,"
                            312"
爪子刀（★ StatTrak™） | 枯焦之色 (久经沙场),￥3166.00,"
                            4"
鲍伊猎刀（★ StatTrak™） | 渐变之色 (崭新出厂),￥2711.00,"
                            6"
格洛克18型（StatTrak™） | 黑色魅影 (崭新出厂),￥2254.00,"
                            9"
双持贝瑞塔 | 决斗家 (破损不堪),￥2737.00,"
                            2"
法玛斯 | 机械工业 (略有磨损),￥410.88,"
                            269"
P90 | 集装箱 (久经沙场),￥0.63,"
                            169"
USP消音版 | 紫色 DDPAT (崭新出厂),￥370.00,"
                            46"
封装的涂鸦 | Team Spirit | 2018年伦敦锦标赛,￥29.48,"
                            10"
R8左轮手枪 | 骸骨外罩 (久经沙场),￥0.23,"
                            7"
MP9 | 羽量级 (略有磨损),￥1.25,"
                            86"
P90 | 往日行动 (战痕累累),￥40.48,"
                            7"
印花 | electronic（闪亮）| 2019年柏林锦标赛,￥5.43,"
                            6"
狂牙手套（★） | 针尖 (久经沙场),￥398.88,"
                            190"
USP消音版（StatTrak™） | 疯狂蔓延 (崭新出厂),￥2566.00,"
                            9"
封装的涂鸦 | 愤怒 (血红),￥0.11,"
                            24"
SG 553 | 四号栖息地 (崭新出厂),￥503.00,"
                            35"
双持贝瑞塔 | 瓜瓜 (略有磨损),￥61.99,"
                            170"
AK-47 | 新红浪潮 (崭新出厂),￥1700.00,"
                            83"
M4A4 | 合纵 (破损不堪),￥2790.00,"
                            38"
运动手套（★） | 双栖 (破损不堪),￥2675.00,"
                            34"
AUG | 渐变琥珀 (崭新出厂),￥16.16,"
                            142"
沙漠之鹰 | 红色代号 (崭新出厂),￥1755.00,"
                            69"
AUG | 随机存取 (崭新出厂),￥35.45,"
                            147"
布章 | 养料！,￥13.69,"
                            17"
AK-47 | 混沌点阵 (略有磨损),￥163.48,"
                            518"
AUG | 小猪猪 (久经沙场),￥299.00,"
                            37"
加利尔AR | 燕尾 (崭新出厂),￥16.49,"
                            180"
AK-47 | 前线迷雾 (崭新出厂),￥1414.00,"
                            98"
M4A4 | 活色生香 (略有磨损),￥599.00,"
                            133"
布章 | 养料！,￥13.69,"
                            17"
AK-47 | 混沌点阵 (略有磨损),￥163.48,"
                            518"
AUG | 小猪猪 (久经沙场),￥299.00,"
                            37"
加利尔AR | 燕尾 (崭新出厂),￥16.49,"
                            180"
AK-47 | 前线迷雾 (崭新出厂),￥1414.00,"
                            98"
M4A4 | 活色生香 (略有磨损),￥599.00,"
                            133"
AK-47 | 一发入魂 (久经沙场),￥241.00,"
                            686"
M4A4 | 皇家圣骑士 (略有磨损),￥1130.00,"
                            61"
M4A4 | 龙王 (崭新出厂),￥699.99,"
                            171"
刺刀（★ StatTrak™） | 枯焦之色 (略有磨损),￥1974.00,"
                            4"
AWP | 红线 (略有磨损),￥510.00,"
                            255"
双持贝瑞塔 | 小甜使 (崭新出厂),￥155.00,"
                            55"
MP9 | 绿色格纹 (略有磨损),￥37.06,"
                            1"
CZ75自动型（StatTrak™） | 毒镖 (破损不堪),￥75.33,"
                            2"
格洛克18型（StatTrak™） | 钢铁禁锢 (久经沙场),￥99.85,"
                            5"
音乐盒（StatTrak™） | Robert Allaire - 叛乱,￥36.62,"
                            22"
印花 | drop（全息）| 2022年里约热内卢锦标赛,￥28.38,"
                            4"
AUG | 孟加拉猛虎 (破损不堪),￥135.00,"
                            4"
SG 553 | 致命紫罗兰 (战痕累累),￥99.41,"
                            26"
沙漠之鹰 | 古铜密码 (略有磨损),￥31.52,"
                            31"
USP消音版（StatTrak™） | 疯狂蔓延 (崭新出厂),￥2566.00,"
                            9"
封装的涂鸦 | 愤怒 (血红),￥0.11,"
                            24"
SG 553 | 四号栖息地 (崭新出厂),￥503.00,"
                            35"
双持贝瑞塔 | 瓜瓜 (略有磨损),￥61.99,"
                            170"
AK-47 | 新红浪潮 (崭新出厂),￥1700.00,"
                            83"
M4A4 | 合纵 (破损不堪),￥2790.00,"
                            38"
运动手套（★） | 双栖 (破损不堪),￥2675.00,"
                            34"
AUG | 渐变琥珀 (崭新出厂),￥16.16,"
                            142"
沙漠之鹰 | 红色代号 (崭新出厂),￥1755.00,"
                            69"
AUG | 随机存取 (崭新出厂),￥35.45,"
                            147"
布章 | 养料！,￥13.69,"
                            17"
AK-47 | 混沌点阵 (略有磨损),￥163.48,"
                            518"
AUG | 小猪猪 (久经沙场),￥299.00,"
                            37"
加利尔AR | 燕尾 (崭新出厂),￥16.49,"
                            180"
AK-47 | 前线迷雾 (崭新出厂),￥1414.00,"
                            98"
M4A4 | 活色生香 (略有磨损),￥599.00,"
                            133"
AK-47 | 一发入魂 (久经沙场),￥241.00,"
                            686"
M4A4 | 皇家圣骑士 (略有磨损),￥1130.00,"
                            61"
M4A4 | 龙王 (崭新出厂),￥699.99,"
                            171"
刺刀（★ StatTrak™） | 枯焦之色 (略有磨损),￥1974.00,"
                            4"
加利尔AR | 燕尾 (崭新出厂),￥16.49,"
                            180"
AK-47 | 前线迷雾 (崭新出厂),￥1414.00,"
                            98"
M4A4 | 活色生香 (略有磨损),￥599.00,"
                            133"
AK-47 | 一发入魂 (久经沙场),￥241.00,"
                            686"
M4A4 | 皇家圣骑士 (略有磨损),￥1130.00,"
                            61"
M4A4 | 龙王 (崭新出厂),￥699.99,"
                            171"
刺刀（★ StatTrak™） | 枯焦之色 (略有磨损),￥1974.00,"
                            4"
AWP | 红线 (略有磨损),￥510.00,"
                            255"
双持贝瑞塔 | 小甜使 (崭新出厂),￥155.00,"
                            55"
MP9 | 绿色格纹 (略有磨损),￥37.06,"
                            1"
CZ75自动型（StatTrak™） | 毒镖 (破损不堪),￥75.33,"
                            2"
格洛克18型（StatTrak™） | 钢铁禁锢 (久经沙场),￥99.85,"
                            5"
音乐盒（StatTrak™） | Robert Allaire - 叛乱,￥36.62,"
                            22"
印花 | drop（全息）| 2022年里约热内卢锦标赛,￥28.38,"
                            4"
AUG | 孟加拉猛虎 (破损不堪),￥135.00,"
                            4"
SG 553 | 致命紫罗兰 (战痕累累),￥99.41,"
                            26"
沙漠之鹰 | 古铜密码 (略有磨损),￥31.52,"
                            31"
加利尔AR | 战吼斑纹 (略有磨损),￥2.89,"
                            28"
印花 | Snax | 2017年克拉科夫锦标赛,￥82.31,"
                            1"
2024年上海锦标赛核子危机纪念包,￥31.75,"
                            1"
沙漠之鹰 | 古铜密码 (略有磨损),￥31.52,"
                            31"
加利尔AR | 战吼斑纹 (略有磨损),￥2.89,"
                            28"
印花 | Snax | 2017年克拉科夫锦标赛,￥82.31,"
                            1"
2024年上海锦标赛核子危机纪念包,￥31.75,"
                            1"
印花 | v4lde（金色）| 2022年里约热内卢锦标赛,￥50.63,"
                            1"
P250 | 污染物 (略有磨损),￥8.56,"
                            29"
MP7 | 青之绽放 (崭新出厂),￥735.00,"
                            19"
SSG 08 | 纪念碑 (略有磨损),￥1.31,"
                            207"
系绳匕首（★） | 蓝钢 (战痕累累),￥649.00,"
                            22"
鲍伊猎刀（★ StatTrak™） | 自动化 (久经沙场),￥836.00,"
                            16"
折叠刀（★） | 黑色层压板 (崭新出厂),￥1728.00,"
                            3"
XM1014 | 知更鸟 (略有磨损),￥1.18,"
                            150"
MAG-7（纪念品） | 银质 (略有磨损),￥222.00,"
                            2"
印花 | GO,￥2.77,"
                            103"
格洛克18型 | 忍瞳 (破损不堪),￥32.82,"
                            502"
Tec-9 | 腐朽木乃伊 (崭新出厂),￥19.00,"
                            61"
加利尔AR（StatTrak™） | 火箭冰棒 (破损不堪),￥8.18,"
                            19"
AUG（纪念品） | 璞玉 (久经沙场),￥23.71,"
                            33"
SG 553（纪念品） | 废墟丛生 (崭新出厂),￥1.18,"
                            30"
MAC-10 | 鼠鼠我呀 (破损不堪),￥2.40,"
                            256"
MAG-7（纪念品） | 银质 (略有磨损),￥222.00,"
                            2"
印花 | GO,￥2.77,"
                            103"
格洛克18型 | 忍瞳 (破损不堪),￥32.82,"
                            502"
Tec-9 | 腐朽木乃伊 (崭新出厂),￥19.00,"
                            61"
加利尔AR（StatTrak™） | 火箭冰棒 (破损不堪),￥8.18,"
                            19"
AUG（纪念品） | 璞玉 (久经沙场),￥23.71,"
                            33"
SG 553（纪念品） | 废墟丛生 (崭新出厂),￥1.18,"
                            30"
MAC-10 | 鼠鼠我呀 (破损不堪),￥2.40,"
                            256"
蝴蝶刀（★ StatTrak™） | 蓝钢 (破损不堪),￥6452.00,"
                            3"
挂件 | 小圆堡,￥5.03,"
                            696"
MP7 | 血腥运动 (破损不堪),￥216.00,"
                            12"
格洛克18型（StatTrak™） | 城里的月光 (略有磨损),￥22.46,"
                            37"
UMP-45（StatTrak™） | 曝光 (久经沙场),￥7.30,"
                            211"
加利尔AR | 信号灯 (崭新出厂),￥15.18,"
                            166"
M4A1消音版 | 液化 (久经沙场),￥35.99,"
                            407"
印花 | Team Liquid（全息）| 2023年巴黎锦标赛,￥8.96,"
                            172"
Tec-9 | 青竹伪装 (久经沙场),￥5.00,"
                            19"
沙漠之鹰 | 人造卫星 (久经沙场),￥13.79,"
                            15"
印花 | Cloud9（闪耀）| 2022年里约热内卢锦标赛,￥2.03,"
                            17"
格洛克18型（StatTrak™） | 崩络克18型 (略有磨损),￥22.15,"
                            74"
印花 | Cloud9（闪耀）| 2022年里约热内卢锦标赛,￥2.03,"
                            17"
格洛克18型（StatTrak™） | 崩络克18型 (略有磨损),￥22.15,"
                            74"
M4A1消音版 | 泥斑迷彩 (久经沙场),￥1.24,"
                            389"
格洛克18型 | 摩登时代 (久经沙场),￥24.98,"
                            572"
R8左轮手枪 | 深红之网 (久经沙场),￥1.60,"
                            184"
法玛斯 | 幸存者 Z (战痕累累),￥2.34,"
                            24"
USP消音版 | 脑洞大开 (破损不堪),￥25.39,"
                            218"
SG 553 | 豹灯蛾 (久经沙场),￥7.96,"
                            55"
加利尔AR | 神祇 (略有磨损),￥14.43,"
                            43"
P250（StatTrak™） | 元素轮廓 (久经沙场),￥2.67,"
                            163"
PP-野牛 | 透光区 (久经沙场),￥5.70,"
                            42"
AK-47 | 迷踪秘境 (破损不堪),￥7.22,"
                            70"
MAC-10 | 魅惑 (破损不堪),￥2.71,"
                            270"
MAG-7（StatTrak™） | 炽热 (战痕累累),￥8.92,"
                            25"
MAG-7 | 炽热 (久经沙场),￥9.41,"
                            54"
内格夫 | 飞羽 (崭新出厂),￥2.48,"
                            218"
M4A4 | 透明弹匣 (崭新出厂),￥5.33,"
                            204"
印花 | 笑嘻了,￥1.60,"
                            396"
双持贝瑞塔（StatTrak™） | 食人花 (破损不堪),￥5.50,"
                            143"
FN57 | 混合体 (略有磨损),￥8.40,"
                            93"
双持贝瑞塔（StatTrak™） | 食人花 (破损不堪),￥5.50,"
                            143"
FN57 | 混合体 (略有磨损),￥8.40,"
                            93"
加利尔AR（StatTrak™） | 沙尘暴 (久经沙场),￥12.40,"
                            52"
SSG 08（StatTrak™） | 裂痕 (久经沙场),￥13.24,"
                            42"
廓尔喀刀（★ StatTrak™） | 屠夫 (崭新出厂),￥1998.00,"
                            7"
折叠刀（★ StatTrak™） | 屠夫 (略有磨损),￥2616.00,"
                            7"
CZ75自动型 | 经济 (久经沙场),￥6.31,"
                            13"
SG 553（纪念品） | 辐射警告 (破损不堪),￥32.53,"
                            2"
法玛斯（StatTrak™） | 元素轮廓 (破损不堪),￥62.50,"
                            7"
印花 | 维戈,￥1.98,"
                            44"
R8左轮手枪（StatTrak™） | 探戈 (略有磨损),￥5.00,"
                            84"
印花 | 封装出厂（闪亮）,￥7.81,"
                            15"
印花 | 斯坦,￥1.91,"
                            43"
MP7（纪念品） | 陆军斥候 (久经沙场),￥93.14,"
                            3"
P90 | 往日行动 (略有磨损),￥40.63,"
                            29"
MP7（StatTrak™） | 装甲核心 (略有磨损),￥4.17,"
                            28"
M249 | 暴雪大理石纹 (久经沙场),￥87.89,"
                            6"
MP7 | 金库悍匪 (久经沙场),￥23.64,"
                            36"
XM1014 | 辐射警告 (战痕累累),￥77.46,"
                            6"
USP消音版 | 不锈钢 (破损不堪),￥73.01,"
                            11"
印花 | Virtus.Pro | 2015年科隆锦标赛,￥50.18,"
                            14"
P250 | 钢铁禁锢 (略有磨损),￥16.71,"
                            12"
MAC-10（StatTrak™） | 青金鳄皮 (战痕累累),￥13.35,"
                            7"
CZ75自动型 | 花纹钢板 (略有磨损),￥32.32,"
                            28"
沙漠之鹰 | 玛珀丽 (破损不堪),￥62.14,"
                            5"
沙漠之鹰 | 跷跷板 (破损不堪),￥2.19,"
                            242"
MP5-SD（StatTrak™） | 静态学 (战痕累累),￥1.49,"
                            10"
SSG 08 | 致命站点 (略有磨损),￥21.60,"
                            166"
M4A1消音版（StatTrak™） | 夜无眠 (战痕累累),￥28.75,"
                            44"
P90（StatTrak™） | 元女王 (崭新出厂),￥23.45,"
                            13"
M4A4（StatTrak™） | 蚀刻领主 (久经沙场),￥11.09,"
                            122"
MP5-SD | 液化 (略有磨损),￥1.39,"
                            164"
封装的涂鸦 | 碰碰狗 (黛蓝),￥0.19,"
                            2"
加利尔AR | ~甜甜的~ (破损不堪),￥422.00,"
                            2"
MP9（纪念品） | 落日 (战痕累累),￥72.28,"
                            8"
挂件（纪念品） | 2025年奥斯汀锦标赛高光时刻 | 鸟狙高光,￥8.79,"
                            12"
截短霰弹枪（StatTrak™） | 弄臣之颅 (战痕累累),￥1.98,"
                            19"
UMP-45（纪念品） | 泥地杀手 (破损不堪),￥0.30,"
                            9"
G3SG1（纪念品） | 狩猎网格 (久经沙场),￥2.59,"
                            13"
AUG（纪念品） | 璞玉 (略有磨损),￥25.61,"
                            52"
格洛克18型 | 摩登时代 (战痕累累),￥25.02,"
                            278"
M249（StatTrak™） | 闹市区 (略有磨损),￥8.11,"
                            91"
XM1014 | 特克卢喷射者 (略有磨损),￥16.56,"
                            57"
FN57 | 同步力场 (崭新出厂),￥70.50,"
                            100"
封装的涂鸦 | 走啦 (酱紫),￥0.11,"
                            46"
加利尔AR（纪念品） | 渐变琥珀 (久经沙场),￥5.42,"
                            108"
内格夫（纪念品） | 核子废渣 (略有磨损),￥41.61,"
                            2"
双持贝瑞塔 | 食人花 (久经沙场),￥2.85,"
                            629"
G3SG1 | 通风机 (崭新出厂),￥3.98,"
                            58"
SCAR-20（StatTrak™） | 开拓者 (久经沙场),￥1.61,"
                            58"
AK-47 | 安全网 (战痕累累),￥17.34,"
                            106"
FN57 | 混合体 (破损不堪),￥3.50,"
                            505"
G3SG1 | 丛林虚线 (略有磨损),￥0.28,"
                            6"
法玛斯 | 灯神 (崭新出厂),￥340.00,"
                            20"
M4A4 | 杀意大名 (破损不堪),￥30.79,"
                            8"
FN57 | 朝枪夕拾 (略有磨损),￥25.74,"
                            94"
音乐盒 | Proxy - 万夫莫敌包,￥13.50,"
                            18"
FN57 | 紫藤老树 (崭新出厂),￥25.67,"
                            51"
海豹短刀（★） | 夜色 (久经沙场),￥692.00,"
                            50"
MAG-7 | 北冥有鱼 (崭新出厂),￥29.54,"
                            12"
海豹短刀（★） | 夜色 (久经沙场),￥692.00,"
                            50"
MAG-7 | 北冥有鱼 (崭新出厂),￥29.54,"
                            12"
布章 | 金·大师级守护者 ー 卓越 ★,￥45.34,"
                            7"
双持贝瑞塔 | 熊熊烈焰 (战痕累累),￥238.00,"
                            3"
MAC-10（StatTrak™） | 捕猎者 (略有磨损),￥5.04,"
                            22"
MAC-10（StatTrak™） | 灯箱 (久经沙场),￥1.46,"
                            82"
加利尔AR | ~甜甜的~ (战痕累累),￥430.00,"
                            4"
XM1014 | 五彩斑驳 (久经沙场),￥6.28,"
                            57"
格洛克18型 | 锈蚀烈焰 (崭新出厂),￥5.73,"
                            103"
SSG 08 | 浮生如梦 (崭新出厂),￥24.99,"
                            92"
沙漠之鹰（StatTrak™） | 黄金锦鲤 (崭新出厂),￥2756.00,"
                            13"
短剑（★ StatTrak™） | 深红之网 (破损不堪),￥2150.00,"
                            5"
M4A1消音版 | 幽独 (战痕累累),￥8.69,"
                            14957"
XM1014 | 特克卢喷射者 (破损不堪),￥16.74,"
                            8"
截短霰弹枪 | 模拟输入 (破损不堪),￥3.64,"
                            74"
AUG | 琥珀冲流 (破损不堪),￥10.10,"
                            4"
MAG-7（StatTrak™） | 北冥有鱼 (破损不堪),￥3.94,"
                            183"
弯刀（★） | 森林 DDPAT (破损不堪),￥594.00,"
                            12"
锯齿爪刀（★） | 虎牙 (略有磨损),￥4773.00,"
                            6"
MP5-SD（StatTrak™） | 液化 (破损不堪),￥0.71,"
                            70"
MAG-7（StatTrak™） | 北冥有鱼 (破损不堪),￥3.94,"
                            183"
弯刀（★） | 森林 DDPAT (破损不堪),￥594.00,"
                            12"
锯齿爪刀（★） | 虎牙 (略有磨损),￥4773.00,"
                            6"
MP5-SD（StatTrak™） | 液化 (破损不堪),￥0.71,"
                            70"
Tec-9 | 银装素裹 (久经沙场),￥38.09,"
                            47"
SSG 08 | 黑水 (略有磨损),￥26.41,"
                            11"
SCAR-20 | 蓝洞 (破损不堪),￥3.29,"
                            10"
FN57 | 毛细血管 (战痕累累),￥2.78,"
                            20"
P2000（StatTrak™） | 变态杀戮 (破损不堪),￥22.83,"
                            35"
PP-野牛（StatTrak™） | 丛林滑流 (战痕累累),￥2.49,"
                            22"
沙漠之鹰 | 热处理 (略有磨损),￥25.99,"
                            587"
AK-47 | 复古浪潮 (久经沙场),￥35.89,"
                            245"
截短霰弹枪 | 灌木丛 (略有磨损),￥36.11,"
                            18"
CZ75自动型 | 氮化处理 (略有磨损),￥83.95,"
                            16"
印花 | Natus Vincere | 2018年伦敦锦标赛,￥9.93,"
                            9"
SG 553 | 路障 (战痕累累),￥70.10,"
                            12"
PP-野牛（纪念品） | 红苹果 (久经沙场),￥3.51,"
                            16"
截短霰弹枪（StatTrak™） | 橙黄 DDPAT (破损不堪),￥151.00,"
                            6"
G3SG1 | 行刑者 (战痕累累),￥49.02,"
                            27"
XM1014 | 怪物汰换 (战痕累累),￥15.54,"
                            63"
P250 | 暗之镂刻 (破损不堪),￥48.19,"
                            6"
P2000 | 防滑握把 (略有磨损),￥1.20,"
                            138"
截短霰弹枪（StatTrak™） | 破铜烂铁 (破损不堪),￥89.53,"
                            8"
SCAR-20 | 沙漠网格 (久经沙场),￥0.04,"
                            1843"
棱彩武器箱,￥7.40,"
                            534"
MAG-7（StatTrak™） | 禁卫军 (破损不堪),￥45.71,"
                            7"
MAC-10 | 鼠鼠我呀 (久经沙场),￥2.99,"
                            481"
SSG 08（StatTrak™） | 浮生如梦 (略有磨损),￥32.50,"
                            14"
MP9 | 爆裂食物链 (破损不堪),￥26.26,"
                            135"
MP9 | 毛细血管 (久经沙场),￥2.19,"
                            124"
Tec-9 | 战火重燃 (略有磨损),￥9.25,"
                            102"
印花 | Gambit Gaming | 2016年 MLG 哥伦布锦标赛,￥38.83,"
                            3"
法玛斯 | 线路故障 (久经沙场),￥4.97,"
                            24"
MP9 | 钴蓝佩斯利 (战痕累累),￥3.58,"
                            80"
SG 553 | 青龙 (战痕累累),￥2.92,"
                            208"
MAG-7（StatTrak™） | 重新补给 (崭新出厂),￥6.35,"
                            21"
XM1014 | 半调转换 (战痕累累),￥6.06,"
                            28"
P250 | 翼击 (略有磨损),￥23.00,"
                            43"
格洛克18型 | 圆影玉兔 (崭新出厂),￥13.48,"
                            180"
双持贝瑞塔（StatTrak™） | 天矢之眼 (久经沙场),￥13.72,"
                            65"
P250 | 翼击 (略有磨损),￥23.00,"
                            43"
格洛克18型 | 圆影玉兔 (崭新出厂),￥13.48,"
                            180"
双持贝瑞塔（StatTrak™） | 天矢之眼 (久经沙场),￥13.72,"
                            65"
AWP | 毛细血管 (崭新出厂),￥25.00,"
                            148"
MP5-SD（StatTrak™） | 高斯 (久经沙场),￥4.56,"
                            19"
MP7（StatTrak™） | 权力之心 (久经沙场),￥11.53,"
                            49"
CZ75自动型（StatTrak™） | 蓝巢 (略有磨损),￥30.65,"
                            7"
R8左轮手枪 | 废物王 (略有磨损),￥2.50,"
                            23"
格洛克18型 | 幻影冥魂 (战痕累累),￥3.61,"
                            10"
FN57 | 雇佣兵 (破损不堪),￥31.60,"
                            1"
PP-野牛（StatTrak™） | 死亡主宰者 (久经沙场),￥15.16,"
                            23"
CZ75自动型（StatTrak™） | 战术高手 (战痕累累),￥7.61,"
                            25"
流浪者匕首（★） | 渐变之色 (崭新出厂),￥2695.00,"
                            128"
AWP（StatTrak™） | 火卫一 (破损不堪),￥92.53,"
                            6"
P2000 | 手炮 (破损不堪),￥4.45,"
                            74"
P90 | 枯焦之色 (久经沙场),￥36.18,"
                            4"
Tec-9 | 兄弟连 (久经沙场),￥2.85,"
                            491"
MAC-10 | 魅惑 (久经沙场),￥2.85,"
                            451"
MAC-10 | 魅惑 (战痕累累),￥2.78,"
                            136"
SSG 08 | 青苔虚线 (战痕累累),￥18.29,"
                            10"
MAC-10 | 魅惑 (久经沙场),￥2.85,"
                            451"
MAC-10 | 魅惑 (战痕累累),￥2.78,"
                            136"
SSG 08 | 青苔虚线 (战痕累累),￥18.29,"
                            10"
