序号,题号,题目名称,难度,通过率,挑战人数,标签
1433,11050,电子产品加工III,中,80%,88,模拟
1434,3657,还有多久才能拥抱你,中,0%,88,思维、最短路问题
1435,3413,苏苏的卡牌游戏,难,25%,88,离散化、动态规划
1436,17763,寻找“特立独行”数,中,96.4%,88,数学
1437,3960,棋子的移动,难,77.8%,88,思维
1438,18043,斐波那契之旅,中,0%,88,思维、数学
1439,17279,小齐的平衡木之旅,中,0%,88,数学
1440,8084,顶端最大值,中,23.1%,88,栈、线段树
1441,8597,最长公共子串-3,中,37.5%,88,字符串hash
1442,17558,荣神找前缀,中,62.5%,88,字符串
1443,4042,小丫的花园游戏,难,50%,88,动态规划
1444,1483,老C的方块,中,0%,88,2017、网络流、CQOI
1445,1995,营救,难,63.6%,88,引用
1446,3286,谁在说谎,中,42.9%,88,思维、数学
1447,5609,小明的暴力题,中,50%,88,可持久化线段树
1448,8171,寻宝但只含质数,中,62.9%,88,线性筛
1449,4858,小新的神秘宝石交换,中,58.3%,88,排序
1450,17661,小齐的撤离计划,中,83.3%,88,数学
1451,17923,最大子集和,中,88.9%,89,数学
1452,4128,新一和基德的石头游戏,难,70%,89,博弈
1453,8247,商场抽奖,中,52.9%,89,模拟、枚举
1454,17212,硕鼠鼠的长度修正,难,33.3%,89,DFS、树
1455,12101,简单的数学问题,中,81.5%,89,思维、数论分块
1456,3409,奇怪区间,中,45.5%,89,哈希表、思维
1457,5201,二维平面整除分块,中,16.7%,89,数学
1458,17493,小齐的省能计划,中,0%,89,数学
1459,3167,狡猾的Alice,中,33.3%,89,期望DP、数学
1460,18272,问卷调查,中,93.1%,89,思维
1461,2925,集卡游戏I,难,54.5%,89,动态规划、概率
1462,20593,Gift,难,28.6%,89,蓝桥杯备赛练习题
1463,1916,摩尔斯编码,难,81.8%,89,引用
1464,8328,排名,中,25%,89,排序
1465,1932,通话时间,难,72.7%,89,引用
1466,17071,银环最大值,中,50%,89,线段树、动态规划
1467,8380,父慈子孝,中,20%,89,DFS
1468,3015,选美比赛,难,66.7%,89,思维、动态规划
1469,3030,守卫王国,中,33.3%,89,图论、二分图、二分、计算几何
1470,3293,解方程,难,44.4%,89,数学
1471,3296,三角形相似,难,22.2%,89,数学、卢卡斯定理
1472,2027,C循环,难,60%,89,引用
1473,8432,标记永久化练习题2,中,80%,89,线段树
1474,3576,Dmitry和数字,中,0%,89,贪心、二分、数学
1475,17913,宝可梦对战,中,81.8%,89,数学
1476,1279,切树游戏,中,0%,89,2017、树链剖分、线段树、SDOI
1477,8476,普通的gcd,中,20%,90,莫比乌斯反演、数学
1478,5663,恢复宝石堆,中,30%,90,模拟、贪心
1479,3368,骑士的旅程,难,57.1%,90,数学、排列组合
1480,4138,新一与基德的石头巧取游戏,难,90.3%,90,贪心
1481,17196,卓儿写数字,中,50%,90,二分
1482,18230,单影孤数,中,94.3%,90,思维、数学
1483,17209,漂亮数列,难,57.1%,90,动态规划
1484,18271,村落的舞者,中,42.9%,90,思维
1485,9576,小徐的字母规律研究,中,0%,90,递推
1486,17520,小齐的奶牛挤奶计划,中,57.1%,90,数学
1487,2935,最小删除次数,难,46.2%,90,思维
1488,17278,小齐的游玩计划,难,0%,90,贪心、BFS
1489,2953,探险之旅,中,66.7%,90,Dsu On Tree
1490,1938,有多少个9,难,50%,90,引用
1491,8604,学霸小蓝,难,87.1%,90,字符串
1492,1952,火星上的加法,难,93.3%,90,引用
1493,8618,Alice的编辑器,中,83.3%,90,字典树、模拟
1494,17337,小齐洗碗,中,0%,90,贪心
1495,1481,同分异构体计数,中,0%,90,2011、JSOI
1496,1497,危桥,中,0%,90,2014、网络流、CQOI
1497,17627,云神的货币系统,中,88.9%,90,动态规划
1498,18405,五色缤纷,中,95.2%,90,思维
1499,5866,LCM序列数对,中,69.2%,90,网络流
1500,13037,小齐的重力困境,中,66.7%,90,数学
1501,3566,串串大师小蓝,中,38.9%,90,字符串、思维
1502,3056,ymt的字符串,中,77.8%,90,动态规划
1503,3568,快乐的计算,中,80%,90,思维、动态规划
1504,3853,小蓝的集合,中,25%,91,思维、数学
1505,4889,多样性,中,40%,91,动态规划、计数问题
1506,18212,城市幸运数字,中,85.7%,91,中国剩余定理、思维、数学
1507,17711,花园中的安全选择,中,94.3%,91,数学
1508,6449,工位摸鱼,中,50%,91,数学
1509,17969,异常频率,中,93.5%,91,数学
1510,10570,小懒的小球分配,中,80%,91,排列组合
1511,8038,一直在数数的鼠鼠,中,29.4%,91,思维
1512,8044,双界竞技,中,0%,91,排序
1513,3949,大衣的奇数集合,难,71.4%,91,思维
1514,3441,ABC吃汤圆,中,5.3%,91,思维
1515,17780,最短路径总和,中,25%,91,数学
1516,1915,字符宽度编码,难,47.6%,91,引用
1517,5262,网络病毒,难,0%,91,思维
1518,8080,采蘑菇的小女孩,中,40%,91,动态规划
1519,18075,质数的守护者,中,28.6%,91,思维、数学
1520,8109,幻想城市的数列规律,中,83.3%,91,模拟
1521,8115,克拉数,中,66.7%,91,线性筛
1522,3294,求经过网格的直线,中,20%,91,容斥
1523,2026,N!的标准素因数分解式,难,50%,91,引用
1524,17390,小齐的智慧分群,中,66.7%,91,数学
1525,18179,靠近字符串,中,0%,92,Floyd
1526,8207,艺术家的预算分配,中,72.2%,92,暴力、思维、枚举、数学
1527,3872,别抢我人头,中,68.8%,92,博弈、分类讨论
1528,8495,笨怂的游戏,中,25%,92,树
1529,8500,红色警戒,中,12.5%,92,二分图最大匹配
1530,8246,菩提树,中,77.8%,92,思维、前缀和、数学
1531,17220,购买地块,中,0%,92,动态规划
1532,4165,货币系统,难,55.6%,92,字符串
1533,5232,小桥和小蓝的魔法之旅,中,66.7%,92,贪心、排序
1534,1910,模糊匹配,难,75%,92,引用
1535,8569,当打之年,中,60%,92,思维、二分
1536,8574,ACM比赛,中,88.9%,92,思维、排序
1537,17810,最大数字拼接游戏,中,76.9%,92,数学
1538,5547,勇敢的社区活动家,中,25%,92,模拟、思维、分治
1539,17835,辉神分糖果,中,0%,92,数学
1540,1974,Quoit Design,难,57.9%,92,引用
1541,1486,K远点对,中,66.7%,92,2016、CQOI
1542,2008,修建新的库房,难,80%,92,引用
1543,8413,平衡树区间翻转,中,70.6%,92,平衡树
1544,2020,各位数码全为1的数,难,76.9%,92,引用
1545,3575,排列命名,中,0%,92,贪心、构造、二分、数学
1546,4862,坤坤的披萨日子,中,68.8%,92,贪心
1547,5641,跑道需求量,中,78.3%,93,模拟、枚举
1548,8493,桥梁修建,中,52%,93,单调栈
1549,17990,最少咒语消灭怪物,中,95.1%,93,数学
1550,8009,完全二叉树路径计数,中,50%,93,动态规划
1551,8544,小蓝走格子,中,20%,93,动态规划
1552,8289,字符串拼凑,中,20%,93,字符串hash、双指针
1553,8037,灯不会在任何时候为我开,中,80%,93,思维
1554,11117,雪地探险,中,13.3%,93,贪心、排序
1555,1923,多项式表示问题,难,58.3%,93,引用
1556,8072,小橙子的神秘数组,中,0%,93,暴力、思维、DFS
1557,2957,零与一的较量,难,66.7%,93,数位DP、动态规划
1558,5527,双龙升天v2,中,73.3%,93,暴力、思维
1559,3233,反转方格,中,25%,93,裴蜀定理、贪心、数学
1560,3234,染色之路,中,62.5%,93,贪心
1561,5565,字符串的友好度,中,41.7%,93,模拟、思维、枚举
1562,8135,诺伊的共鸣石选择,中,78.6%,93,数学
1563,3021,蓝桥A梦的翻倍药水,中,33.3%,93,思维
1564,18396,山环水抱画中闲,中,33.3%,93,计算几何
1565,5656,棋盘方格计数,中,81%,94,思维
1566,4894,Popcount,中,77.8%,94,数位DP
1567,10031,价值最大的路径,中,88%,94,动态规划
1568,3131,绝对差的和,中,0%,94,思维、贪心
1569,17474,最优涂色策略,中,33.3%,94,贪心
1570,11078,翻转面包的技术,中,33.3%,94,DFS
1571,11092,图书馆馆员的困惑,中,73.7%,94,状压DP、数学
1572,8540,疑惑的划分,中,60%,94,动态规划
1573,10589,互补的整数对,中,62.1%,94,枚举
1574,8554,禁止吸烟,中,53.8%,94,数据结构
1575,17265,小齐的奶牛之路,中,50%,94,线段树
1576,2932,蓝色和红色的路径,难,0%,94,动态规划、最短路问题
1577,2939,约数王国,中,41.7%,94,数学
1578,3970,阿坤老师的音乐课,中,0%,94,思维、枚举
1579,1931,公制时间,难,0%,94,引用
1580,18330,双重判断,中,80%,94,贪心
1581,2981,勾股定理,难,15.4%,94,数学
1582,3786,线段游戏,难,33.3%,94,思维、贪心、二分
1583,3279,欧涛玩游戏,难,55.6%,94,最短路问题
1584,3025,有多少排序可以重来,难,66.7%,94,期望DP、动态规划
1585,4562,搭积木比赛,难,44.4%,94,状态压缩、博弈、DFS
1586,982,古代猪文,中,0%,94,SDOI
1587,8407,树上K联通块,中,83.3%,94,树上背包
1588,17628,野兽先辈森林查询,中,70.6%,94,数据结构
1589,1501,图的逆变换,中,0%,94,2013、CQOI
1590,8417,log2与加法,中,81.8%,94,倍增
1591,1775,有没有说谎,中,87.5%,94,
1592,8689,魔法森林的树高调整,难,33.3%,94,树形DP
1593,3060,矩阵填数问题,难,66.7%,94,数学、数论分块
1594,8186,男生女生打比赛,中,53.3%,94,前缀和
1595,18201,老渔夫划小舟,中,33.3%,95,思维、数学
1596,8487,小蓝的三质数,中,37.5%,95,线性筛、思维、数学
1597,17191,野兽先辈分配任务,中,15.4%,95,图论
1598,8236,蓝桥彩票,难,84.6%,95,思维、数学、预处理
1599,8255,小蓝的果树,中,50%,95,动态规划、状压DP、最短路问题
1600,18254,平衡序列之和,中,64.3%,95,模拟、暴力、枚举
1601,8555,阿桥的疑惑,中,3.4%,95,排列组合
1602,8556,开锁计划,中,85%,95,数据结构
1603,1392,森林,中,0%,95,2013、主席树、SDOI
1604,5753,小明的线段游戏,中,75%,95,树状数组、线段树、二分
1605,2950,狮子王国的聚会,中,66.7%,95,Dsu On Tree
1606,17301,小齐的车厢编号,中,50%,95,数学
1607,18339,对数秘境解方程,中,94.7%,95,思维、数学
1608,2992,匹配,难,62.5%,95,整除分块、模拟
1609,2999,抓住小蓝,中,28.6%,95,排列组合
1610,5559,生气的丽丽,中,12.5%,95,思维、枚举
1611,1468,铁拳,中,0%,95,2012、网络流、JSOI
1612,5322,井字棋残局游戏,中,0%,95,唯一分解定理、枚举、数学
1613,5325,奇妙的树,中,80%,95,位运算、树
1614,17372,小齐挑战之数字游戏,中,95.8%,95,数学
1615,8682,奇妙的二进制回文,中,66.7%,95,思维
1616,8687,魔法学校的身高问题,中,75%,95,思维、贪心
1617,17647,康康的最长上升子序列,中,0%,95,数学
1618,5625,阿杨的美食之旅2,中,92.9%,95,枚举、数学
1619,4859,无影之谜,中,33.3%,95,二分
1620,3342,合法的戴帽排列,难,33.3%,96,思维
1621,1298,墙上的句子,中,0%,96,2016、网络流、SDOI
1622,4132,坤坤和小沸的任务调度,难,78.9%,96,前缀和
1623,5420,榛果巧克力,中,55.6%,96,动态规划
1624,4918,确定的异或和,中,57.1%,96,思维、状态压缩、搜索
1625,1098,骑行川藏,中,0%,96,2012、NOI
1626,18269,傍晚的角度,中,90.9%,96,计算几何
1627,4013,小蓝想表白,中,88.9%,96,思维、动态规划
1628,5570,最大中位数,中,12.5%,96,思维、枚举、数学
1629,18129,亮了多少,中,94.1%,96,字符串、思维
1630,5085,神奇的比赛,中,66.7%,96,并查集、树
1631,8157,花坛,中,72.7%,96,双指针
1632,3040,小蓝的公司,难,42.9%,96,思维、动态规划、数学
1633,8427,完全二叉树min路径和,中,33.3%,96,动态规划、计数问题
1634,17391,小齐的最短路径,中,0%,96,排序
1635,17904,怂怂的幸运日,中,96.6%,96,数学
1636,5370,想作弊的小明,中,12.5%,96,最小生成树、并查集、暴力
1637,3067,小蓝的花坛加强版,难,78.9%,96,数学
1638,8455,网格覆盖,中,66.7%,97,二分图最大权匹配
1639,8201,网瘾少年打游戏,中,33.3%,97,动态规划
1640,8713,小浩与精华帖,中,14.3%,97,二分
1641,8479,00和01,中,16.7%,97,排列组合
1642,4904,芯片争夺战,中,16.7%,97,思维、博弈
1643,11083,小蘑菇,中,88.9%,97,贪心、动态规划
1644,12125,快乐数,中,98.1%,97,
1645,1382,酗酒者,中,0%,97,2014、图论、SDOI
1646,1395,费用流,中,0%,97,2013、网络流、SDOI
1647,17268,小齐的牛奶搬运锻炼,难,14.3%,97,模拟、递归
1648,1421,圈地,中,0%,97,2020、网络流、JSOI
1649,18089,正弦曲线下的最小值,中,93.3%,97,思维、数学
1650,17322,小齐的柠檬水摊,中,83.3%,97,排序
1651,18096,漫步草原,中,80%,97,数学
1652,5311,伦太郎的强迫症,中,64.3%,97,前缀和
1653,4039,最短补给路线,难,87.5%,97,贪心
1654,968,满汉全席,中,66.7%,97,2-SAT、JSOI
1655,18123,桥接字符,中,91.1%,97,字符串hash
1656,2005,奇特的火车站,难,82.4%,97,引用
1657,3042,小纸条,难,0%,97,FFT
1658,8181,疯狂的染色,中,0%,97,二分
1659,5624,取糖果，请吃饭,中,66.7%,97,暴力、思维、二进制
1660,18197,五人相隔如山间,中,33.3%,98,暴力、DFS
1661,8471,计划表,中,25%,98,离散化
1662,4139,小浩的子序列逆序对,中,50%,98,逆序对、思维、数学
1663,12096,纸牌游戏,中,68.8%,98,模拟
1664,8521,小飞造数组,中,50%,98,图论
1665,3429,小蓝的密码,中,16.7%,98,模拟、思维
1666,17256,卓儿的独特蔬菜,中,61.9%,98,排序、数据结构
1667,20589,Trial of Doom,难,0%,98,蓝桥杯备赛练习题
1668,903,花仙子的魔法,中,40%,98,HNOI
1669,8589,子集的和与积,中,50%,98,NTT
1670,17549,荣神找到模式,中,96.4%,98,字符串
1671,1170,软件包管理器,中,0%,98,2015、树链剖分、NOI
1672,1973,抽签Lot,难,81%,98,引用
1673,8376,小蓝的填数游戏,中,0%,98,数学
1674,960,球队收益,中,0%,98,费用流、JSOI
1675,5826,小然的糖果传递,中,80%,98,模拟
1676,8391,文档合并与版本控制,中,78.3%,98,字符串
1677,5335,求解popcount与i的乘积和,中,40%,98,基环树、双指针、贪心、前缀和、二分、DFS、数学
1678,2013,体重排序,难,75%,98,引用
1679,3574,数列研究,难,33.3%,98,贪心、数学
1680,5115,闯关游戏,难,0%,98,贪心
1681,3345,不同下标对,中,46.4%,99,容斥
1682,8478,数列计数II,中,40%,99,排列组合
1683,3106,完美三元组【UUST】,难,43.8%,99,树状数组、线段树
1684,4135,卡牌游戏,难,33.3%,99,贪心
1685,17214,卓儿的田埂,中,0%,99,线段树
1686,1091,兔兔与蛋蛋,中,0%,99,2011、二分图、NOI、博弈
1687,8264,遗迹探险,中,12.5%,99,暴力
1688,1376,Lis（序列）,中,0%,99,2014、最小割、SDOI
1689,17254,卓儿的记忆游戏,中,81.8%,99,LCA、树链剖分、DFS
1690,8552,阿蓝的疑问,中,50%,99,动态规划
1691,3446,XCPC组队,中,60%,99,枚举
1692,2937,唯一货源的商家,中,27.3%,99,思维、数学
1693,1914,Quicksum校验和,中,89.3%,99,引用
1694,1403,轻重路径,中,0%,99,2016、树链剖分、JSOI
1695,1917,添加后缀构成回文,难,0%,99,引用
1696,8061,小桃的数字操作代价,中,92.6%,99,思维、数学
1697,17797,寻找极值密集区间,中,96.3%,99,数学
1698,1946,颠倒数的和,中,91.7%,99,引用
1699,8643,01trie替代平衡树,中,33.3%,99,平衡树、01-Trie
1700,17608,云神的约瑟夫问题,中,43.2%,99,排序
1701,1493,多项式,中,0%,99,2015、CQOI
1702,3289,这个勇者明明超强却过分慎重,难,57.1%,99,矩阵快速幂
1703,8205,走棋盘迷宫,中,50%,100,模拟
1704,3373,数字前导1,中,41.2%,100,思维、数位DP、数学
1705,17973,乐乐的优势点,中,95.8%,100,数学
1706,1086,兔农,中,0%,100,2011、NOI
1707,8274,蓝桥新彩票,中,51.6%,100,思维、枚举、数学
1708,17746,小齐的比赛计时,中,95.1%,100,数学
1709,8282,推算数字,中,70%,100,数学
1710,1130,消毒,中,0%,100,2013、二分图、HNOI
1711,6780,小蓝的异或和问题,中,25%,100,树状数组、前缀和、位运算
1712,8576,“新”马走日,中,63.6%,100,思维
1713,17543,小齐的真假难题,中,0%,100,数学
1714,8592,白黑反转,中,50%,100,KMP
1715,2971,蓝桥A梦堆多米诺骨牌,难,50%,100,思维、贪心、动态规划
1716,17308,原原的数字游戏一,中,83.3%,100,位运算
1717,4012,奇妙的数字3,难,78.9%,100,思维、数学
1718,5809,集合转换的最大代价,中,81.2%,100,生成树、数学
1719,3252,快使用魔法,中,37.5%,100,并查集、模拟
1720,8373,数学知识的结合,中,25%,100,思维、数学
1721,5817,三元组数组的第K小元素,中,71.4%,100,贪心
1722,3036,排列的艺术,中,71.4%,100,思维、二分、数论分块
1723,5597,组合和式求值,中,62.5%,100,排列组合
1724,18406,找出好兄弟,中,71.4%,100,哈希表
1725,3313,KiKi的难题,难,33.3%,100,动态规划
1726,18177,字符矩阵查找,中,66.7%,101,KMP
1727,1302,音质检测,中,0%,101,2015、矩阵乘法、线段树、SDOI
1728,17451,小齐的骰子游戏,中,0%,101,数学
1729,3392,不同的回文子串,难,0%,101,思维、构造
1730,8516,老友相聚,难,66.7%,101,LCA
1731,3148,切等腰,中,90.9%,101,图论、思维、最短路问题
1732,18266,星星组合数,中,57.1%,101,排列组合
1733,1385,泉水,中,0%,101,2013、容斥、SDOI
1734,2933,石头剪刀布,难,58.3%,101,思维、动态规划
1735,8309,超能力水果,中,26.3%,101,容斥、二分
1736,902,超级英雄,中,0%,101,二分图、HNOI
1737,5276,K元或组求和,中,50%,101,位运算
1738,2991,两个回文串,难,0%,101,字符串、思维
1739,17329,小齐挑战之Moo游戏,中,0%,101,DFS
1740,8372,凯莉的爱好,中,80%,101,数学
1741,5558,树的生长任务,中,50%,101,Dsu On Tree、枚举
1742,1975,柱状图中的最大矩形,难,55.6%,101,引用
1743,962,最小割,中,0%,101,网络流、AHOI
1744,1489,伪光滑数,中,50%,101,2016、CQOI
1745,17378,小齐的字符串替换,难,0%,101,字符串
1746,1271,相关分析,中,0%,101,2017、线段树、SDOI
1747,8439,树上出现次数为偶数的路径个数,中,66.7%,101,树
1748,8445,区间划分问题,中,88.9%,101,数学
1749,5650,城市地铁站,中,66.7%,102,暴力、思维、二分
1750,4905,大衣的不同值,中,44.4%,102,单调栈、思维
1751,3627,ymt的礼物,难,50%,102,思维、数学
1752,3386,蓝桥A梦的连续子数组,难,25%,102,贪心
1753,8512,数组问题,中,37.5%,102,思维
1754,17734,逆风前行,中,84.8%,102,数学
1755,8523,小飞算数,中,28.6%,102,BFS
1756,3406,排排队,中,0%,102,思维、贪心
1757,3154,小明的奇妙冒险,中,50%,102,容斥、思维、数学
1758,8560,未来的事情,中,63.2%,102,思维
1759,893,切割多边形,中,0%,102,SCOI、计算几何
1760,5247,小迪的数字游戏,中,33.3%,102,字符串、思维、贪心、前缀和
1761,8575,ACM比赛II,中,77.8%,102,思维、排序
1762,3969,神秘宝石盒的挑战,中,0%,102,暴力
1763,906,最佳包裹,中,0%,102,HNOI、计算几何
1764,3467,最多个0,难,23.1%,102,贪心
1765,18063,随机因子,中,66.7%,102,思维、数学
1766,923,Bill的挑战,中,75%,102,SDOI、状压DP
1767,8350,乔治的难题,中,0%,102,思维、数学
1768,8100,寻找符文,中,78.9%,102,高精度
1769,8360,王国阅兵仪式三,中,22.2%,102,矩阵快速幂、数位DP
1770,18090,k数组和,中,76.9%,102,前缀和
1771,2987,这是个环,中,33.3%,102,图论、暴力、思维
1772,4280,镜面反射,难,37.5%,102,贪心、BFS
1773,18361,可能的第一名,中,72%,102,贪心
1774,986,书柜的尺寸,中,0%,102,SHOI、动态规划
1775,8412,最大差值,中,76.9%,102,平衡树
1776,1246,蔬菜,中,0%,102,2017、线段树、贪心、NOI
1777,1248,泳池,中,0%,102,2017、NOI、期望DP
1778,5091,外星入侵II,中,0%,102,区间DP、动态规划
1779,2029,人体生理周期调节,难,0%,102,引用
1780,17645,康康的组合数,中,20%,102,数学
1781,4854,魔法石的神秘力量,中,23.8%,102,排序
1782,8199,要掉小珍珠了,中,33.3%,103,并查集
1783,1295,征途,中,75%,103,2016、SDOI、斜率优化
1784,8475,数的整除,中,9.1%,103,思维、数学
1785,4897,风待草,中,66.7%,103,欧拉回路、数学
1786,4146,灾难疏散演练,难,50%,103,模拟、贪心
1787,7992,立方体放置石头方案数,中,33.3%,103,容斥
1788,8248,社区的朋友圈,中,33.3%,103,思维、枚举
1789,11086,农夫之愁,中,83.3%,103,数学、排列组合
1790,8271,电报来信,中,83.3%,103,字典树
1791,17234,卓儿的大果树,中,76.9%,103,DFS、树
1792,3933,被整除数,难,57.6%,103,思维
1793,17775,硬币支付的可能性,中,95.2%,103,数学
1794,17276,小齐的奶牛洗牌问题,中,30%,103,排序
1795,8318,摆盘子,中,50%,103,二分
1796,3987,妮妮的字母山,中,20%,103,字符串、模拟
1797,1184,品酒大会,中,0%,103,2015、后缀数组、并查集、NOI
1798,8096,满足国王的要求,中,82.4%,103,树形DP
1799,942,狼和羊的故事,中,25%,103,网络流、最小割、ZJOI
1800,4032,荒岛求生,难,25%,103,字符串、贪心、数据结构
1801,8385,数字拼装商店,中,87.5%,103,动态规划、数学
1802,3779,松达建筑店的大订单,难,44.4%,103,模拟
1803,1479,Apple 的美食,中,0%,103,2011、JSOI
1804,3017,神秘的石柱,中,50%,103,GCD、欧拉函数、数学
1805,5069,蓝桥篮球赛,中,23.1%,103,二分、数据结构
1806,4048,不等号的陷阱,难,37.5%,103,分类讨论、计数问题
1807,8676,完美的二进制操作,中,75%,103,贪心
1808,17641,云神计算整数数量,中,44.4%,103,数学
1809,5869,神秘书籍的调整,中,33.3%,103,并查集、思维、DFS
1810,5104,成就之旅：统计可能的路径,中,50%,103,动态规划
1811,5637,孤独的字符串,中,57.1%,104,动态规划
1812,17415,小齐爱摄影,中,50%,104,DFS
1813,18187,透露根的秘密,中,88.9%,104,思维、数学
1814,1300,探险路线,中,0%,104,2016、SDOI、动态规划
1815,8234,考古加密,中,16.7%,104,动态规划、数学、二进制
1816,4923,大衣的立方和,中,50%,104,思维、前缀和、数学
1817,17733,小齐的进制转换困惑,中,33.3%,104,数学
1818,12102,小蓝的奇妙冒险,难,75%,104,思维
1819,8530,干饭！启动！,中,33.3%,104,思维
1820,8533,奇怪的点,中,38.9%,104,数据结构
1821,864,报表统计,中,0%,104,线段树、平衡树、ZJOI
1822,2975,名侦探小蓝,难,66.7%,104,模拟、思维、搜索
1823,8635,打印口字,中,96%,104,模拟
1824,1987,翻木块游戏,难,75%,104,引用
1825,8138,搬家,中,92.3%,104,数学
1826,1484,老C的任务,中,20%,104,2017、树状数组、CQOI
1827,8173,魔法音阶,中,50%,104,思维
1828,3610,修建挡水坝,中,50%,105,图论、思维
1829,8237,狼人杀线索判断,中,81.8%,105,数学、二进制
1830,17972,组合魔法石的能量,中,96.6%,105,数学
1831,16976,变态之积,中,72.4%,105,思维、数学
1832,3410,ppqq,中,28.6%,105,线性筛、双指针、数学
1833,880,最优驾车,难,0%,105,思维、SCOI
1834,17264,小齐的艺术创作,中,0%,105,前缀和
1835,1957,数字变换,难,0%,105,引用
1836,5810,最长血液输血链的患者数量,中,86.7%,105,矩阵乘法、数学
1837,4536,第k小子串,中,18.8%,105,字符串、思维、枚举
1838,8156,疯狂搭积木,中,0%,105,二分
1839,5348,回文带修判断,中,81.8%,105,字符串hash、线段树
1840,1253,影魔,中,0%,105,2017、线段树、HNOI、扫描线
1841,17894,城市偷盗,中,20%,105,数学
1842,8709,魔法石的不相等排列,中,60%,106,思维
1843,5653,冒险家与三重石,中,50%,106,模拟、排序、二分
1844,12059,小蓝的魔法卡片,中,0%,106,贪心
1845,12072,宝石分组,中,56.2%,106,模拟、暴力、思维、数学
1846,8489,小蓝的数字统计问题,中,16.7%,106,数位DP
1847,17203,卓儿的循环数组,中,60%,106,前缀和
1848,12086,数据结构,中,81.8%,106,数据结构
1849,3385,寻宝小能手小蓝,难,14.3%,106,思维、贪心
1850,18006,最小交换数,中,97.1%,106,数学
1851,8537,涂色问题,中,64.3%,106,动态规划
1852,1118,MP3 播放器,中,0%,106,2010、思维、CEOI
1853,868,志愿者招募,中,0%,106,2008、网络流、NOI
1854,1383,重建,中,0%,106,2014、矩阵树定理、SDOI
1855,1393,淘金,中,0%,106,2013、SDOI、数位DP
1856,20615,Torry的困惑(提高型),难,80.6%,106,蓝桥杯备赛练习题
1857,908,树的计数,中,25%,106,HNOI
1858,17036,任务分配,中,28.6%,106,2-SAT
1859,8085,保留k位小数,中,43.8%,106,高精度
1860,1437,数字理论,中,0%,106,2013、JSOI、数位DP
1861,18083,行至水穷处，坐看云起时,中,0%,106,思维、数学
1862,5041,区间内质数的和,中,0%,106,数学、筛法
1863,955,公交线路,中,0%,106,矩阵乘法、HNOI、状压DP
1864,17086,小蓝喝饮料,中,31.8%,106,思维
1865,1992,抽奖游戏Lotto,难,92.9%,106,引用
1866,8666,矩形切割,中,0%,106,思维、数学
1867,4577,一元二次同余方程,易,6.2%,106,二次剩余
1868,1250,由乃的OJ,中,0%,106,2017、树链剖分、线段树、YNOI
1869,7911,小蓝的上学路线,中,40%,106,中国剩余定理、动态规划、卢卡斯定理
1870,5865,小蓝的疑问III,中,50%,106,前缀和、根号分治
1871,17411,小齐的社交距离,中,9.1%,107,模拟
1872,17425,小齐新挑战之奶牛排列,中,9.1%,107,排序
1873,3619,tt的笔试题,中,55%,107,思维、数据结构
1874,8239,摩天轮的纠结,中,82%,107,模拟
1875,1096,迷失游乐园,中,0%,107,2012、NOI、期望DP、树形DP
1876,17484,小齐的梦境之旅,中,11.1%,107,数学
1877,4429,树上博弈,易,0%,107,博弈
1878,4440,割点变种1,易,33.3%,107,图论、割点
1879,3173,商业街规划,中,28.6%,107,思维、数据结构
1880,4459,迭代函数,易,0%,107,中国剩余定理、思维
1881,8047,小蓝的区间,中,23.1%,107,哈希表、前缀和、枚举
1882,4208,wzy的数组VII,易,18.5%,107,思维
1883,4209,最佳搭档,易,30%,107,位运算、动态规划
1884,17293,小齐挑战之挤奶计划,中,92.6%,107,模拟
1885,4241,pollard-rho求最大素因子和最小素因子,易,20%,107,Pollard-Rho
1886,4242,小镇道路规划,易,50%,107,图论、割点
1887,4244,线段的交,易,0%,107,思维
1888,4256,放慢解决第三题,易,20%,107,思维、位运算、数学
1889,8608,小蓝闯关,中,84.6%,107,思维
1890,4260,WIFI数组,易,14.3%,107,思维
1891,4262,古代时间仪器,易,18.2%,107,中国剩余定理、数学
1892,4524,万恶的分割点,易,0%,107,图论、割点
1893,5553,神秘的石柱v3,中,93.3%,107,GCD、欧拉函数、枚举
1894,17077,神秘地图上的数字规则,中,87%,107,模拟
1895,4541,串串拼拼拼,易,0%,107,动态规划
1896,1984,Sum It Up,难,92.3%,107,引用
1897,18121,树的简单路径不就是路径吗？,中,0%,107,带权并查集、并查集、次小生成树
1898,4298,小蓝的数学进阶题,易,20%,107,动态规划
1899,1485,不同的最小割,中,0%,107,2016、网络流、最小割、分治、CQOI
1900,18383,土地的收益,中,93.8%,107,思维、数学
1901,4561,进位统计,易,17.4%,107,数位DP、数学
1902,3287,数据结构,难,63.6%,107,线段树、分块、模拟
1903,4317,新一的神秘密码,易,12.5%,107,思维
1904,2017,超市购物车,难,7.7%,107,引用
1905,4321,新一与基德的神秘宝箱,易,0%,107,思维
1906,8166,西洋棋王,中,60.9%,107,动态规划
1907,8433,标记永久化练习题3,中,86.7%,107,线段树
1908,3314,KK的GFriend,中,65.4%,107,模拟
1909,4341,简简单单的数学题,易,30%,107,莫比乌斯反演、思维
1910,5638,被三整除的数位和,中,69%,108,前缀和、数学、预处理
1911,4407,k 小异或和,易,42.9%,108,线性基
1912,4183,搭建蛋糕,易,25%,108,思维、数学
